Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
164,0.149,0.0759,0.257349,0.345,0.076,0.722,5,164,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.345481592,0.076038576,0.721796554,1
167,0.0833,0.156,0.2885213,0.101,0.373,0.833,0,167,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.101152845,0.373145401,0.833189353,1
169,0.254,0.0745,0.2721059,0.736,0.0708,0.775,2,169,Not eroded,0,1,1,1,1,1,1,0,1,1,1,0.735961324,0.070845697,0.774529666,1
171,0.0983,0.324,0.3197057,0.157,0.996,0.945,0,171,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.156935664,0.996290801,0.94462539,1
173,0.177,0.0729,0.2808742,0.45,0.0649,0.806,3,173,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.44960952,0.064910979,0.805862788,1
174,0.219,0.226,0.3190343,0.606,0.633,0.942,0,174,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.605801413,0.632789318,0.942226173,1
178,0.17,0.301,0.292454,0.424,0.911,0.847,0,178,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.423577538,0.910979228,0.847242678,1
180,0.0704,0.0651,0.2456635,0.0532,0.036,0.68,3,180,Not eroded,0,1,1,1,1,0,1,0,0,1,1,0.053179621,0.035979228,0.680038951,1
187,0.223,0.1,0.236571,0.621,0.165,0.648,0,187,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.620676832,0.165430267,0.647547315,1
198,0.293,0.203,0.2526133,0.881,0.547,0.705,5,198,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.880996653,0.547477745,0.704873745,1
200,0.173,0.217,0.3052491,0.435,0.599,0.893,0,200,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.434734102,0.599406528,0.892965387,1
202,0.279,0.255,0.2324863,0.829,0.74,0.633,0,202,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.828932689,0.740356083,0.632950825,1
224,0.288,0.283,0.2363797,0.862,0.844,0.647,0,224,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.86240238,0.84421365,0.646863713,1
232,0.287,0.149,0.3249976,0.859,0.347,0.964,0,232,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.858683525,0.347181009,0.963535755,1
238,0.181,0.251,0.2508298,0.464,0.726,0.699,4,238,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.464484939,0.725519288,0.698500489,1
239,0.276,0.081,0.3164421,0.818,0.095,0.933,0,239,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.817776125,0.09495549,0.932963064,1
241,0.101,0.237,0.2373363,0.167,0.674,0.65,0,241,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.166976571,0.673590504,0.65028208,1
242,0.31,0.153,0.2625158,0.944,0.362,0.74,5,242,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.944217181,0.362017804,0.740259879,1
245,0.203,0.292,0.3115631,0.546,0.878,0.916,2,245,Not eroded,0,1,1,1,1,1,1,0,1,1,1,0.54629974,0.877596439,0.915528179,1
262,0.28,0.242,0.2351331,0.833,0.692,0.642,2,262,Not eroded,0,1,1,1,0,0,1,0,1,1,1,0.832651543,0.692136499,0.642409044,1
264,0.168,0.257,0.3017845,0.416,0.748,0.881,0,264,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.416139829,0.747774481,0.880584796,1
267,0.104,0.0903,0.2256755,0.178,0.129,0.609,5,267,Not eroded,0,1,1,0,0,0,0,0,0,0,1,0.178133135,0.129451039,0.60861274,1
270,0.103,0.139,0.2829213,0.174,0.31,0.813,0,270,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.17441428,0.310089021,0.813178007,1
272,0.316,0.203,0.3182721,0.967,0.547,0.94,0,272,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.966530309,0.547477745,0.939502486,1
275,0.26,0.0637,0.2896594,0.758,0.0308,0.837,7,275,Not eroded,0,1,1,1,1,1,0,0,0,0,0,0.758274451,0.03078635,0.837256302,1
276,0.107,0.12,0.2311621,0.189,0.24,0.628,4,276,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.189289699,0.239614243,0.628218856,1
278,0.301,0.203,0.2585711,0.911,0.547,0.726,6,278,Not eroded,0,1,1,1,1,1,0,0,0,0,0,0.91074749,0.547477745,0.726163673,1
