Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location Half,Norm Z location 0.5714,Norm Z location 0.60714,Norm Z location 0.6429,Norm Z location 0.6786,Norm Z location 0.7143,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
243,0.171,0.175,0.291,0.43,0.443,0.839,0,243,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43037974683544306,0.4425863991081382,0.839457723867285,1
244,0.232,0.31,0.245,0.657,0.944,0.675,0,244,Not eroded,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.6574832464631423,0.9442586399108138,0.6753478415982875,1
245,0.295,0.156,0.264,0.892,0.372,0.743,4,245,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.8920327624720773,0.3719806763285024,0.7431323581876561,1
247,0.126,0.215,0.305,0.263,0.591,0.889,0,247,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2628443782576321,0.5912300260126346,0.8894042097752408,1
248,0.176,0.196,0.307,0.449,0.521,0.897,2,248,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.4489947877885331,0.5206243032329989,0.8965394220478058,1
250,0.201,0.166,0.272,0.542,0.409,0.772,3,250,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.5420699925539836,0.40914158305462656,0.7716732072779167,1
255,0.0706,0.0606,0.263,0.0566,0.0175,0.74,6,255,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.056589724497393884,0.017465626161278346,0.7395647520513736,1
256,0.0974,0.1,0.319,0.156,0.164,0.939,0,256,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1563663440059568,0.1638795986622074,0.9393506956831965,1
261,0.288,0.174,0.257,0.866,0.439,0.718,0,261,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8659717051377512,0.43887030843552577,0.7181591152336783,1
262,0.195,0.274,0.291,0.52,0.81,0.839,3,262,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.5197319434102755,0.8104793756967671,0.839457723867285,1
264,0.208,0.14,0.288,0.568,0.313,0.829,6,264,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.5681310498883096,0.31252322556670387,0.8287549054584373,1
266,0.183,0.256,0.229,0.475,0.744,0.618,0,266,Not eroded,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0.47505584512285925,0.7435897435897436,0.6182661434177668,1
269,0.272,0.324,0.244,0.806,0.996,0.672,0,269,Not eroded,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.806403574087863,0.9962839093273876,0.6717802354620049,1
272,0.245,0.324,0.262,0.706,0.996,0.736,0,272,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7058823529411764,0.9962839093273876,0.735997145915091,1
278,0.241,0.0564,0.251,0.691,0.00186,0.697,4,278,Not eroded,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0.6909903201787043,0.0018580453363062075,0.6967534784159829,1
280,0.0964,0.205,0.239,0.153,0.554,0.654,0,280,Not eroded,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.1526433358153388,0.5540691192865105,0.6539422047805922,1
281,0.0562,0.285,0.22,0.00298,0.851,0.586,0,281,Not eroded,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0029784065524944233,0.8513563730955034,0.5861576881912237,1
283,0.204,0.121,0.226,0.553,0.242,0.608,5,283,Not eroded,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.5532390171258376,0.24191750278706797,0.6075633250089191,1
284,0.201,0.318,0.309,0.542,0.974,0.904,0,284,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5420699925539836,0.9739873652917131,0.903674634320371,1
287,0.3,0.164,0.267,0.911,0.402,0.754,3,287,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.9106478034251675,0.4017094017094017,0.7538351765965038,1
290,0.132,0.176,0.31,0.285,0.446,0.907,0,290,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.28518242740134025,0.4463024897807506,0.9072422404566535,1
291,0.0604,0.16,0.308,0.0186,0.387,0.9,0,291,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.018615040953090113,0.38684503901895206,0.9001070281840884,1
292,0.222,0.213,0.254,0.62,0.584,0.707,3,292,Not eroded,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0.620253164556962,0.5837978446674098,0.7074562968248306,1
