Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
110,0.192,0.101,0.269,3,110,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.26e-07,1.1e-07,-8.92e-08,3.55e-07,1.18e-07,1,0.000635,1,1,0,0,0,0.5064935064935066,0.16913946587537096,0.7607142857142857,1
114,0.231,0.173,0.265,0,114,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.6512059369202227,0.4362017804154302,0.7464285714285714,1
116,0.0856,0.169,0.275,0,116,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.11168831168831166,0.42136498516320475,0.7821428571428571,1
123,0.155,0.0727,0.276,5,123,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.39e-08,-4.46e-08,-3.63e-07,3.66e-07,7.33e-08,0,0.000655,0,1,0,0,0,0.3692022263450835,0.06416913946587538,0.7857142857142857,1
128,0.242,0.184,0.303,4,128,Not eroded,0,0,1,0,1,0,1,0,1,0,1,9.27e-06,5.16e-06,6.95e-08,1.06e-05,2.65e-06,0,0.019,1,1,0,0,0,0.6920222634508348,0.4770029673590504,0.882142857142857,1
129,0.247,0.297,0.291,0,129,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.7105751391465677,0.8961424332344212,0.8392857142857142,1
131,0.0781,0.0822,0.247,4,131,Not eroded,0,0,1,0,1,0,1,0,1,0,0,1.11e-07,2.01e-07,9.09e-08,2.47e-07,6.18e-08,0,0.000442,1,1,0,0,0,0.08385899814471243,0.09940652818991097,0.682142857142857,1
135,0.298,0.324,0.24,0,135,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8998144712430426,0.9962908011869436,0.657142857142857,1
139,0.056,0.15,0.292,2,139,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-4.53e-08,-1.76e-08,-9.01e-08,1.02e-07,5.12e-08,1,0.000182,1,1,1,0,0,0.0018552875695732854,0.35089020771513346,0.8428571428571427,1
140,0.288,0.291,0.224,5,140,Not eroded,0,0,1,0,1,0,0,0,0,0,0,3.04e-07,8.41e-07,5.49e-08,8.96e-07,1.79e-07,0,0.0016,0,1,0,0,0,0.8627087198515769,0.873887240356083,0.6,1
141,0.281,0.221,0.325,0,141,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8367346938775511,0.6142433234421365,0.9607142857142856,1
142,0.224,0.0561,0.25,3,142,Not eroded,0,0,1,0,1,0,1,0,1,0,0,3.83e-07,-1.43e-07,-9.97e-08,4.21e-07,1.4e-07,1,0.000753,1,1,0,0,0,0.6252319109461967,0.002596439169139463,0.6928571428571428,1
143,0.0561,0.0682,0.318,0,143,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.002226345083487927,0.047477744807121657,0.9357142857142856,1
145,0.056,0.178,0.231,4,145,Not eroded,0,0,1,0,1,0,1,0,0,0,0,-2.65e-07,4.35e-08,3.67e-07,4.55e-07,1.14e-07,0,0.000814,1,1,0,0,0,0.0018552875695732854,0.45474777448071213,0.625,1
150,0.0766,0.206,0.323,0,150,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.07829313543599258,0.5586053412462907,0.9535714285714285,1
158,0.0665,0.325,0.295,0,158,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.040816326530612256,1.0,0.8535714285714284,1
164,0.179,0.0978,0.28,5,164,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.45e-07,1.41e-06,-1.2e-08,1.42e-06,2.84e-07,0,0.00254,0,1,0,0,0,0.45825602968460105,0.1572700296735905,0.8,1
171,0.0815,0.286,0.217,0,171,Not eroded,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.09647495361781076,0.8553412462908011,0.575,1
172,0.0797,0.31,0.327,0,172,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.0897959183673469,0.9443620178041543,0.9678571428571429,1
174,0.24,0.0817,0.27,0,174,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.6846011131725417,0.09755192878338277,0.7642857142857143,1
186,0.171,0.269,0.281,0,186,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.4285714285714286,0.7922848664688428,0.8035714285714286,1
