Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Porosity_here,Porosity_front,Porosity_diff,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity
134,0.0633,0.107,0.2490981,0,Not eroded,0,1,1,1,1,1,0.2842093,0.3893806,-0.1051713,0.03467355219476205,0.19128508124076807,0.6908698048974568,1,0.038265889610356055,0.0
136,0.247,0.133,0.2508856,0,Not eroded,0,1,1,1,1,1,0.2716224,0.2960408,-0.0244184,0.7122832902987827,0.28729689807976366,0.6972287663693008,1,0.058049237374547334,0.0
140,0.0692,0.325,0.2666791,0,Not eroded,0,1,1,1,1,1,0.3439077,0.4120043,-0.0680966,0.056436739210623366,0.9963072378138847,0.7534135260926954,1,0.23284549075287123,0.0
142,0.258,0.126,0.3249277,0,ERODED,1,1,1,1,1,1,0.2960408,0.99,-0.6939592,0.7528587237181852,0.26144756277695713,0.9606306467577869,1,0.8775181120548389,0.0
144,0.25,0.138,0.2917947,0,Not eroded,0,1,1,1,1,1,0.2960408,0.99,-0.6939592,0.7233493175949833,0.30576070901033975,0.8427612926617833,1,0.5108150846585052,0.0
148,0.324,0.182,0.3244029,0,ERODED,1,1,1,1,1,1,0.3647194,0.99,-0.6252806,0.9963113242345998,0.46824224519940905,0.9587636912442631,1,0.8717098318273437,0.0
155,0.0618,0.208,0.2620201,6,Not eroded,0,0,0,0,0,0,0.3065859,0.3861232,-0.0795373,0.029140538546661737,0.5642540620384046,0.7368393154648234,1,0.18128150908385463,0.8571428571428571
157,0.132,0.216,0.3010419,0,ERODED,1,1,1,1,1,1,0.3308816,0.99,-0.6591184,0.2880855772777573,0.5937961595273263,0.8756578456813275,1,0.6131594614109683,0.0
160,0.224,0.184,0.3242508,0,ERODED,1,1,1,1,1,1,0.3770868,0.99,-0.6129132,0.6274437476945777,0.4756277695716395,0.9582226014317499,1,0.8700264487812273,0.0
162,0.26,0.0913,0.307763,1,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7602360752489856,0.13330871491875923,0.8995678965615574,1,0.687545955765042,0.14285714285714285
163,0.23,0.0725,0.3251823,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.649575802286979,0.06388478581979318,0.9615363763190352,1,0.880335924832888,0.0
164,0.188,0.0618,0.2737611,0,Not eroded,0,1,1,1,1,1,0.3210669,0.3492331,-0.0281662,0.49465142014016966,0.024372230428360415,0.7786074646345689,1,0.3112262845240608,0.0
168,0.324,0.255,0.3268051,0,ERODED,1,1,1,1,1,1,0.3829345,0.99,-0.6070655,0.9963113242345998,0.7378138847858197,0.9673094239702289,1,0.898296437700989,0.0
169,0.257,0.0703,0.2799158,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.749170047952785,0.055760709010339735,0.8005025696252028,1,0.3793440861935813,0.0
171,0.0893,0.317,0.2880146,4,Not eroded,0,0,0,0,1,1,0.4120043,0.99,-0.5779957,0.13057912209516784,0.9667651403249631,0.8293137344745288,1,0.4689784229055434,0.5714285714285714
172,0.275,0.226,0.3176404,0,ERODED,1,1,1,1,1,1,0.3829345,0.99,-0.6070655,0.815566211729989,0.6307237813884785,0.9347063614801541,1,0.7968651385376414,0.0
173,0.199,0.0834,0.2883946,3,Not eroded,0,1,0,0,1,1,0.3492331,0.99,-0.6407669,0.5352268535595721,0.10413589364844904,0.8306655696405711,1,0.47318411361904966,0.42857142857142855
174,0.227,0.228,0.3269673,0,ERODED,1,1,1,1,1,1,0.305176,0.99,-0.684824,0.6385097749907783,0.6381093057607089,0.9678864441384711,1,0.9000916035792276,0.0
178,0.193,0.294,0.2841819,0,Not eroded,0,1,1,1,1,1,0.3858649,0.99,-0.6041351,0.5130947989671708,0.881831610044313,0.8156790538406062,1,0.4265596050169749,0.0
184,0.107,0.114,0.3165136,0,ERODED,1,1,1,1,1,1,0.3415885,0.99,-0.6484115,0.19586868314275171,0.21713441654357457,0.9306978144667423,1,0.7843941588113812,0.0
186,0.0951,0.308,0.2982856,4,Not eroded,0,0,0,0,1,1,0.4120043,0.99,-0.5779957,0.1519734415344891,0.933530280649926,0.8658524160282683,1,0.5826538158487644,0.5714285714285714
200,0.197,0.217,0.3167404,0,ERODED,1,1,1,1,1,1,0.3875078,0.99,-0.6024922,0.5278495020287717,0.5974889217134416,0.9315046466132116,1,0.7869042921109157,0.0
202,0.277,0.248,0.2617171,4,Not eroded,0,0,0,0,1,1,0.3100746,0.3829345,-0.0728599,0.8229435632607894,0.7119645494830131,0.7357614047929528,1,0.17792802412019046,0.5714285714285714
216,0.191,0.293,0.3252301,0,ERODED,1,1,1,1,1,1,0.3858649,0.99,-0.6041351,0.5057174474363704,0.8781388478581977,0.9617064229530796,1,0.880864956454219,0.0
220,0.205,0.0555,0.3133858,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.5573589081519734,0.0011078286558345702,0.9195707880658283,1,0.7497768971963671,0.0
239,0.264,0.0608,0.3182321,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7749907783105865,0.0206794682422452,0.9368113111321207,1,0.8034138416828569,0.0
241,0.0945,0.237,0.2539462,0,Not eroded,0,1,1,1,1,1,0.3166705,0.3314033,-0.0147328,0.14976023607524896,0.6713441654357458,0.7081167313934831,1,0.09192275578969938,0.0
242,0.269,0.146,0.2888737,0,Not eroded,0,1,1,1,1,1,0.2960408,0.99,-0.6939592,0.7934341571375876,0.33530280649926136,0.8323699491880735,1,0.47848660420021,0.0
245,0.195,0.292,0.3070853,0,Not eroded,0,1,1,1,1,1,0.3858649,0.99,-0.6041351,0.5204721504979712,0.8744460856720825,0.8971570052667497,1,0.6800454384057172,0.0
257,0.309,0.261,0.323738,0,ERODED,1,1,1,1,1,1,0.3829345,0.99,-0.6070655,0.9409811877535964,0.759970457902511,0.9563983354497855,1,0.8643509798394222,0.0
262,0.281,0.241,0.2467411,0,Not eroded,0,1,1,1,1,1,0.3100746,0.3829345,-0.0728599,0.8376982663223903,0.6861152141802067,0.6824848694070309,1,0.012179539579475769,0.0
264,0.194,0.24,0.2731309,0,Not eroded,0,1,1,1,1,1,0.2544996,0.3294985,-0.0749989,0.516783474732571,0.6824224519940915,0.7763655527355167,1,0.30425147850392514,0.0
270,0.137,0.0986,0.2990594,0,ERODED,1,1,1,1,1,1,0.3642182,0.99,-0.6257818,0.3065289561047584,0.16026587887740024,0.868605179321646,1,0.5912179302543199,0.0
272,0.278,0.176,0.3185331,0,ERODED,1,1,1,1,1,1,0.3647194,0.99,-0.6252806,0.8266322390261897,0.44608567208271777,0.9378821068820647,1,0.8067451914322396,0.0
275,0.235,0.0665,0.3189366,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.66801918111398,0.04172821270310193,0.9393175423807439,1,0.8112109709135549,0.0
276,0.0891,0.129,0.2690676,0,Not eroded,0,1,1,1,1,1,0.2842093,0.3893806,-0.1051713,0.12984138694208777,0.27252584933530277,0.7619105216034643,1,0.25928047040868707,0.0
