Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1 connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
164,0.179,0.0978,0.28,5,164,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.45E-07,1.41E-06,-1.20E-08,1.42E-06,2.84E-07,0,0.00254,0,1,0,0,0,0.45825603,0.15727003,0.8,1
172,0.0797,0.31,0.327,0,172,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.089795918,0.944362018,0.967857143,1
174,0.24,0.0817,0.27,0,174,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.684601113,0.097551929,0.764285714,1
186,0.171,0.269,0.281,0,186,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.428571429,0.792284866,0.803571429,1
187,0.0565,0.279,0.271,0,187,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.003710575,0.829376855,0.767857143,1
191,0.152,0.316,0.274,4,191,Not eroded,0,0,1,0,1,0,1,0,1,0,1,9.74E-08,-1.34E-08,5.91E-08,1.15E-07,2.87E-08,0,0.000206,1,1,0,0,0,0.358070501,0.966617211,0.778571429,1
194,0.236,0.27,0.278,3,194,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.01E-06,4.79E-07,2.24E-07,1.14E-06,3.79E-07,1,0.00204,1,1,0,0,0,0.669758813,0.795994065,0.792857143,1
198,0.268,0.0561,0.231,0,198,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.788497217,0.002596439,0.625,1
201,0.0725,0.268,0.319,0,201,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.063079777,0.788575668,0.939285714,1
202,0.153,0.0873,0.231,5,202,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.59E-07,4.72E-07,2.24E-07,5.83E-07,1.17E-07,0,0.00104,0,1,0,0,0,0.361781076,0.118323442,0.625,1
208,0.21,0.0648,0.29,5,208,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.30E-07,-1.15E-07,2.28E-07,3.44E-07,6.88E-08,0,0.000615,0,1,0,0,0,0.573283859,0.034866469,0.835714286,1
214,0.298,0.254,0.255,4,214,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-5.70E-06,3.92E-06,2.03E-06,7.21E-06,1.80E-06,0,0.0129,1,1,0,0,0,0.899814471,0.736646884,0.710714286,1
216,0.24,0.139,0.286,4,216,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.59E-06,3.00E-07,-2.46E-07,1.64E-06,4.09E-07,0,0.00293,1,1,0,0,0,0.684601113,0.310089021,0.821428571,1
217,0.291,0.316,0.295,3,217,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.56E-07,7.01E-07,-3.89E-07,8.41E-07,2.80E-07,1,0.0015,1,1,0,0,0,0.873840445,0.966617211,0.853571429,1
218,0.242,0.199,0.281,4,218,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.79E-05,-1.12E-06,1.04E-05,2.07E-05,5.17E-06,0,0.037,1,1,0,0,0,0.692022263,0.53264095,0.803571429,1
225,0.149,0.325,0.313,3,225,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.41E-07,-7.04E-07,-2.89E-08,7.19E-07,2.40E-07,1,0.00129,1,1,0,0,0,0.346938776,1,0.917857143,1
226,0.174,0.164,0.236,2,226,Not eroded,0,0,1,0,1,0,1,0,0,0,0,6.17E-08,8.12E-08,8.59E-07,8.65E-07,4.32E-07,1,0.00155,1,1,1,0,0,0.439703154,0.402818991,0.642857143,1
228,0.31,0.324,0.258,0,228,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.944341373,0.996290801,0.721428571,1
229,0.116,0.215,0.241,4,229,Not eroded,0,0,1,0,1,0,1,0,1,0,0,3.15E-07,-3.72E-08,3.94E-07,5.06E-07,1.27E-07,0,0.000905,1,1,0,0,0,0.224489796,0.591988131,0.660714286,1
232,0.104,0.0613,0.271,6,232,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.81E-07,9.57E-08,6.17E-08,3.03E-07,5.06E-08,0,0.000542,0,0,0,0,0,0.179962894,0.021884273,0.767857143,1
235,0.146,0.0561,0.266,4,235,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.78E-07,-8.65E-07,7.94E-08,8.87E-07,2.22E-07,0,0.00159,1,1,0,0,0,0.33580705,0.002596439,0.75,1
237,0.0726,0.166,0.289,0,237,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.063450835,0.410237389,0.832142857,1
